settlement_id,payment_id,gross_amount,fee,tax,net_amount,settlement_time,UTR
SET-00148,PAY-00148,1957.81,39.16,7.05,1911.61,2026-08-25 07:40:48,UTR432941445
SET-00149,PAY-00149,2229.36,44.59,8.03,947.88,2026-08-28 00:17:52,UTR683074770
SET-00150,PAY-00150,9833.34,196.67,35.4,9601.27,2026-08-26 20:08:26,UTR908839964
SET-00151,PAY-00151,21694.53,433.89,136.45,21124.19,2026-08-27 21:05:54,UTR483298103
SET-00152,PAY-00152,4054.93,81.1,14.6,-95.7,2026-08-26 13:04:56,UTR393364102
SET-00153,PAY-00153,386.57,14.15,1.39,-15.54,2026-08-26 07:12:04,UTR529520110
SET-00154,PAY-00154,2184.97,43.7,7.87,2133.4,2026-08-28 11:00:00,UTR515156661
SET-00155,PAY-00155,848.91,16.98,3.06,828.88,2026-08-27 11:24:14,UTR843102880
SET-00156,PAY-00156,2725.73,54.51,9.81,2661.4,2026-09-03 18:44:07,UTR956084565
SET-00157,PAY-00157,186138.13,3722.76,670.1,181745.27,2026-08-28 16:10:41,UTR188703430
SET-00158,PAY-00158,440.16,8.8,1.58,429.77,2026-08-28 23:15:26,UTR562360908
SET-00159,PAY-00159,1155.04,23.1,4.16,-27.26,2026-08-28 17:50:03,UTR415429295
SET-00160,PAY-00160,2308.93,46.18,8.31,2254.44,2026-09-05 20:00:52,UTR452101316
SET-00161,PAY-00161,59075.71,1943.76,212.67,29369.88,2026-08-29 04:18:29,UTR578798403
SET-00162,PAY-00162,2987.4,59.75,10.75,2916.9,2026-08-29 22:41:32,UTR278933456
SET-00163,PAY-00163,2505.02,50.1,9.02,2445.9,2026-08-29 14:59:44,UTR580101819
SET-00164,PAY-00164,2604.75,52.09,9.38,2543.28,2026-08-28 06:06:29,UTR478557676
SET-00165,PAY-00165,195360.18,3907.2,703.3,190749.68,2026-08-29 19:43:53,UTR786624943
SET-00166,PAY-00166,1172.32,23.45,4.22,-27.67,2026-08-27 21:33:51,UTR784523874
SET-00167,PAY-00167,4790.86,95.82,17.25,4677.8,2026-08-29 07:46:18,UTR960170255
SET-00168,PAY-00168,1129.9,22.6,4.07,1103.23,2026-08-30 18:17:09,UTR133436988
SET-00169,PAY-00169,3699.71,73.99,13.32,3612.4,2026-08-28 17:41:24,UTR938927341
SET-00170,PAY-00170,4996.48,99.93,17.99,4878.56,2026-08-29 01:40:26,UTR172191273
SET-00171,PAY-00171,4858.28,97.17,17.49,889.58,2026-08-29 20:48:36,UTR488856231
SET-00172,PAY-00172,160243.85,3204.88,576.88,156462.1,2026-08-30 19:29:58,UTR749715626
SET-00173,PAY-00173,1762.58,35.25,6.35,1720.98,2026-08-30 01:26:51,UTR498320110
SET-00174,PAY-00174,3803.33,76.07,13.69,3713.57,2026-08-30 18:47:37,UTR182555101
SET-00175,PAY-00175,2588.36,51.77,9.32,-61.09,2026-08-31 11:19:46,UTR494009507
SET-00176,PAY-00176,4927.59,98.55,17.74,4811.3,2026-08-30 19:10:17,UTR399240862
SET-00177,PAY-00177,433.01,8.66,1.56,422.79,2026-08-29 11:35:25,UTR889924866
SET-00178,PAY-00178,185641.56,3712.83,668.31,61076.23,2026-08-30 00:09:29,UTR515524530
SET-00179,PAY-00179,2843.43,56.87,10.24,2776.33,2026-08-31 18:03:46,UTR932111777
SET-00180,PAY-00180,172785.91,3455.72,622.03,168708.16,2026-09-01 02:21:26,UTR330393232
SET-00181,PAY-00181,111835.03,2236.7,402.61,109195.72,2026-09-01 15:32:12,UTR627422192
SET-00182,PAY-00182,235.24,4.7,0.85,229.69,2026-08-30 12:39:22,UTR179512774
SET-00183,PAY-00183,661.3,19.63,2.38,-280.98,2026-09-01 01:30:40,UTR865975088
SET-00184,PAY-00184,8808.73,176.17,31.71,8600.84,2026-08-31 23:49:18,UTR832215964
SET-00185,PAY-00185,2964.47,59.29,10.67,2894.51,2026-09-01 18:36:52,UTR861863296
SET-00186,PAY-00186,1302.93,26.06,4.69,1272.18,2026-09-09 20:43:51,UTR411774120
SET-00187,PAY-00187,2831.29,56.63,10.19,1747.41,2026-09-01 10:10:47,UTR861888313
SET-00188,PAY-00188,4218.48,84.37,15.19,4118.92,2026-09-03 00:50:29,UTR952225000
SET-00189,PAY-00189,151148.13,3022.96,544.13,147581.03,2026-09-02 00:51:52,UTR230311939
SET-00190,PAY-00190,109154.11,2183.08,392.95,106578.07,2026-08-31 18:36:27,UTR948656610
SET-00191,PAY-00191,1959.33,39.19,7.05,1913.09,2026-09-01 23:41:52,UTR694875990
SET-00192,PAY-00192,4402.25,88.05,15.85,4298.36,2026-09-03 14:21:45,UTR962925204
SET-00193,PAY-00193,648.18,12.96,2.33,632.88,2026-09-03 10:04:45,UTR192573170
SET-00194,PAY-00194,557.6,11.15,2.01,544.44,2026-09-01 17:58:08,UTR869801588
SET-00195,PAY-00195,25580.08,511.6,92.09,24976.39,2026-09-04 04:44:33,UTR541087900
SET-00196,PAY-00196,4281.89,85.64,15.41,4180.84,2026-09-03 09:19:30,UTR234568604
SET-00197,PAY-00197,121113.2,2422.26,436.01,118254.93,2026-09-03 12:11:05,UTR583156434
SET-00198,PAY-00198,351.75,7.04,1.27,343.45,2026-09-03 14:57:02,UTR469919929
SET-00199,PAY-00199,1133.82,22.68,4.08,1107.06,2026-09-10 14:19:26,UTR731130400
SET-00200,PAY-00200,3695.6,73.91,13.3,3608.38,2026-09-02 04:08:35,UTR639945876
