bank_txn_id,UTR,credit_amount,value_date,description
BANK-00050,UTR779919809,4702.75,2026-08-10 13:04:57,NEFT CR UTR779919809 RAZORPAY SETTLEMENT
BANK-00051,UTR308202515,2124.18,2026-08-10 23:12:02,NEFT CR UTR308202515 RAZORPAY SETTLEMENT
BANK-00052,UTR979339361,101110.88,2026-08-12 01:01:10,NEFT CR UTR979339361 RAZORPAY SETTLEMENT
BANK-00053,UTR210385522,217.3,2026-08-13 10:36:26,NEFT CR UTR210385522 RAZORPAY SETTLEMENT
BANK-00054,UTR286293158,2368.65,2026-08-11 03:07:26,NEFT CR UTR286293158 RAZORPAY SETTLEMENT
BANK-00055,UTR915133660,3460.35,2026-08-12 23:50:39,NEFT CR UTR915133660 RAZORPAY SETTLEMENT
BANK-00056,UTR929839316,4306.16,2026-08-13 06:31:26,NEFT CR UTR929839316 RAZORPAY SETTLEMENT
BANK-00057,UTR910080036,42106.08,2026-08-14 04:07:27,NEFT CR UTR910080036 RAZORPAY SETTLEMENT
BANK-00058,UTR831361497,3631.39,2026-08-14 04:08:20,NEFT CR UTR831361497 RAZORPAY SETTLEMENT
BANK-00059,UTR770575153,1333.69,2026-08-14 01:53:46,NEFT CR UTR770575153 RAZORPAY SETTLEMENT
BANK-00060,UTR262089272,104771.81,2026-08-13 18:29:20,NEFT CR UTR262089272 RAZORPAY SETTLEMENT
BANK-00061,UTR574817290,-96.85,2026-08-13 00:12:45,NEFT CR UTR574817290 RAZORPAY SETTLEMENT
BANK-00062,UTR394928601,881.15,2026-08-14 01:17:22,NEFT CR UTR394928601 RAZORPAY SETTLEMENT
BANK-00063,UTR644748834,358.51,2026-08-13 08:03:32,NEFT CR UTR644748834 RAZORPAY SETTLEMENT
BANK-00064,UTR585238820,92522.81,2026-08-12 08:18:53,NEFT CR UTR585238820 RAZORPAY SETTLEMENT
BANK-00065,UTR993027458,163229.46,2026-08-12 02:21:55,NEFT CR UTR993027458 RAZORPAY SETTLEMENT
BANK-00066,UTR196955134,-17.1,2026-08-13 00:34:50,NEFT CR UTR196955134 RAZORPAY SETTLEMENT
BANK-00067,UTR512834919,-80.03,2026-08-15 01:14:26,NEFT CR UTR512834919 RAZORPAY SETTLEMENT
BANK-00068,UTR950207886,-20.34,2026-08-13 19:54:36,NEFT CR UTR950207886 RAZORPAY SETTLEMENT
BANK-00069,UTR969533218,2556.6,2026-08-14 20:09:27,NEFT CR UTR969533218 RAZORPAY SETTLEMENT
BANK-00070,UTR445236735,461.86,2026-08-15 20:57:20,NEFT CR UTR445236735 RAZORPAY SETTLEMENT
BANK-00071,UTR261985842,3774.89,2026-08-15 12:54:23,NEFT CR UTR261985842 RAZORPAY SETTLEMENT
BANK-00072,UTR970768982,2801.89,2026-08-13 18:36:26,NEFT CR UTR970768982 RAZORPAY SETTLEMENT
BANK-00073,UTR641755366,1219.54,2026-08-14 15:10:45,NEFT CR UTR641755366 RAZORPAY SETTLEMENT
BANK-00074,UTR366012797,251.22,2026-08-15 02:34:58,NEFT CR UTR366012797 RAZORPAY SETTLEMENT
BANK-00075,UTR662714327,3288.3,2026-08-15 15:53:10,NEFT CR UTR662714327 RAZORPAY SETTLEMENT
BANK-00076,UTR490732457,61286.73,2026-08-16 15:30:08,NEFT CR UTR490732457 RAZORPAY SETTLEMENT
BANK-00077,UTR538912794,35851.02,2026-08-15 07:24:49,NEFT CR UTR538912794 RAZORPAY SETTLEMENT
BANK-00078,UTR156227043,172293.3,2026-08-15 11:26:06,NEFT CR UTR156227043 RAZORPAY SETTLEMENT
BANK-00079,UTR170772317,98.92,2026-08-16 10:49:53,NEFT CR UTR170772317 RAZORPAY SETTLEMENT
BANK-00080,UTR828404274,1915.35,2026-08-15 11:18:50,NEFT CR UTR828404274 RAZORPAY SETTLEMENT
BANK-00081,UTR877103091,4753.38,2026-08-16 01:43:40,NEFT CR UTR877103091 RAZORPAY SETTLEMENT
BANK-00082,UTR261462131,3255.47,2026-08-17 18:56:36,NEFT CR UTR261462131 RAZORPAY SETTLEMENT
BANK-00083,UTR812548074,-85.43,2026-08-16 11:09:25,NEFT CR UTR812548074 RAZORPAY SETTLEMENT
BANK-00084,UTR804433388,4082.49,2026-08-16 01:23:36,NEFT CR UTR804433388 RAZORPAY SETTLEMENT
BANK-00085,UTR238460786,445.99,2026-08-19 05:05:23,NEFT CR UTR238460786 RAZORPAY SETTLEMENT
BANK-00086,UTR432411019,561.39,2026-08-19 08:42:26,NEFT CR UTR432411019 RAZORPAY SETTLEMENT
BANK-00087,UTR950040559,1758.79,2026-08-18 23:18:05,NEFT CR UTR950040559 RAZORPAY SETTLEMENT
BANK-00088,UTR854658900,18748.34,2026-08-17 09:43:46,NEFT CR UTR854658900 RAZORPAY SETTLEMENT
BANK-00089,UTR665210546,1242.27,2026-08-19 15:11:03,NEFT CR UTR665210546 RAZORPAY SETTLEMENT
BANK-00090,UTR554629125,4401.72,2026-08-17 13:41:59,NEFT CR UTR554629125 RAZORPAY SETTLEMENT
BANK-00091,UTR489336282,1007.66,2026-08-19 05:55:24,NEFT CR UTR489336282 RAZORPAY SETTLEMENT
BANK-00092,UTR466932310,4473.16,2026-08-17 16:37:42,NEFT CR UTR466932310 RAZORPAY SETTLEMENT
BANK-00093,UTR247709679,3848.92,2026-08-18 14:09:32,NEFT CR UTR247709679 RAZORPAY SETTLEMENT
BANK-00094,UTR946237594,859.12,2026-08-17 04:44:37,NEFT CR UTR946237594 RAZORPAY SETTLEMENT
BANK-00095,UTR679574436,2343.41,2026-08-17 08:15:48,NEFT CR UTR679574436 RAZORPAY SETTLEMENT
BANK-00096,UTR810741110,-40.62,2026-08-19 10:18:30,NEFT CR UTR810741110 RAZORPAY SETTLEMENT
BANK-00097,UTR741288486,1639.4,2026-08-19 00:05:32,NEFT CR UTR741288486 RAZORPAY SETTLEMENT
BANK-00098,UTR294181873,77257.27,2026-08-18 20:51:56,NEFT CR UTR294181873 RAZORPAY SETTLEMENT
BANK-00099,UTR277746324,410.26,2026-08-20 14:41:54,NEFT CR UTR277746324 RAZORPAY SETTLEMENT
BANK-00100,UTR541156077,1652.63,2026-08-20 19:43:11,NEFT CR UTR541156077 RAZORPAY SETTLEMENT
BANK-00101,UTR355046107,1260.23,2026-08-20 06:44:01,NEFT CR UTR355046107 RAZORPAY SETTLEMENT
BANK-00102,UTR907873857,711.91,2026-08-20 04:18:29,NEFT CR UTR907873857 RAZORPAY SETTLEMENT
BANK-00103,UTR673390109,2880.01,2026-08-21 07:43:37,NEFT CR UTR673390109 RAZORPAY SETTLEMENT
BANK-00104,UTR942211135,1269.06,2026-08-18 15:31:30,NEFT CR UTR942211135 RAZORPAY SETTLEMENT
BANK-00105,UTR828326405,3822.87,2026-08-20 04:11:22,NEFT CR UTR828326405 RAZORPAY SETTLEMENT
BANK-00106,UTR926178355,149958.08,2026-08-21 05:58:35,NEFT CR UTR926178355 RAZORPAY SETTLEMENT
BANK-00107,UTR666355637,4496.32,2026-08-20 06:47:57,NEFT CR UTR666355637 RAZORPAY SETTLEMENT
BANK-00108,UTR314423806,3538.9,2026-08-20 15:58:41,NEFT CR UTR314423806 RAZORPAY SETTLEMENT
BANK-00109,UTR368438908,1537.49,2026-08-21 22:40:59,NEFT CR UTR368438908 RAZORPAY SETTLEMENT
BANK-00110,UTR498585961,4218.64,2026-08-20 20:23:11,NEFT CR UTR498585961 RAZORPAY SETTLEMENT
BANK-00111,UTR653953485,4525.93,2026-08-22 04:48:06,NEFT CR UTR653953485 RAZORPAY SETTLEMENT
BANK-00112,UTR919390458,3135.6,2026-08-19 20:23:30,NEFT CR UTR919390458 RAZORPAY SETTLEMENT
BANK-00113,UTR651208305,3206.92,2026-08-20 12:27:50,NEFT CR UTR651208305 RAZORPAY SETTLEMENT
BANK-00114,UTR338411494,3964.36,2026-08-20 12:07:34,NEFT CR UTR338411494 RAZORPAY SETTLEMENT
BANK-00115,UTR128636900,1277.59,2026-08-22 03:56:00,NEFT CR UTR128636900 RAZORPAY SETTLEMENT
BANK-00116,UTR639026034,921.43,2026-08-22 08:24:32,NEFT CR UTR639026034 RAZORPAY SETTLEMENT
BANK-00117,UTR187623171,4048.25,2026-08-22 14:40:36,NEFT CR UTR187623171 RAZORPAY SETTLEMENT
BANK-00118,UTR442185272,4541.77,2026-08-22 07:22:08,NEFT CR UTR442185272 RAZORPAY SETTLEMENT
BANK-00119,UTR460015275,4090.65,2026-08-22 15:24:29,NEFT CR UTR460015275 RAZORPAY SETTLEMENT
BANK-00120,UTR408034406,900.41,2026-08-21 17:59:02,NEFT CR UTR408034406 RAZORPAY SETTLEMENT
BANK-00121,UTR249027517,4065.81,2026-08-23 15:40:30,NEFT CR UTR249027517 RAZORPAY SETTLEMENT
BANK-00122,UTR760725160,2622.22,2026-08-25 00:03:07,NEFT CR UTR760725160 RAZORPAY SETTLEMENT
BANK-00123,UTR374796224,1938.51,2026-08-22 13:43:31,NEFT CR UTR374796224 RAZORPAY SETTLEMENT
BANK-00124,UTR880862406,3786.95,2026-08-23 11:56:37,NEFT CR UTR880862406 RAZORPAY SETTLEMENT
BANK-00125,UTR219385981,32002.41,2026-08-26 00:46:55,NEFT CR UTR219385981 RAZORPAY SETTLEMENT
BANK-00126,UTR230833665,32883.89,2026-08-25 01:03:25,NEFT CR UTR230833665 RAZORPAY SETTLEMENT
BANK-00127,UTR786069196,4820.92,2026-08-23 06:17:40,NEFT CR UTR786069196 RAZORPAY SETTLEMENT
BANK-00128,UTR219032752,701.52,2026-08-25 23:26:28,NEFT CR UTR219032752 RAZORPAY SETTLEMENT
BANK-00129,UTR117647321,-49.97,2026-08-25 07:04:45,NEFT CR UTR117647321 RAZORPAY SETTLEMENT
BANK-00130,UTR359779090,432.42,2026-08-26 17:03:31,NEFT CR UTR359779090 RAZORPAY SETTLEMENT
BANK-00131,UTR560891752,1958.07,2026-08-26 01:27:21,NEFT CR UTR560891752 RAZORPAY SETTLEMENT
BANK-00132,UTR358303887,863.05,2026-08-24 19:10:54,NEFT CR UTR358303887 RAZORPAY SETTLEMENT
BANK-00133,UTR813363254,1980.6,2026-08-27 03:20:49,NEFT CR UTR813363254 RAZORPAY SETTLEMENT
BANK-00134,UTR487195336,2534.82,2026-08-26 20:02:38,NEFT CR UTR487195336 RAZORPAY SETTLEMENT
BANK-00135,UTR644738967,3621.18,2026-08-25 06:21:04,NEFT CR UTR644738967 RAZORPAY SETTLEMENT
BANK-00136,UTR519246503,1455.37,2026-08-26 19:49:11,NEFT CR UTR519246503 RAZORPAY SETTLEMENT
BANK-00137,UTR515410649,1738.1,2026-08-25 07:19:14,NEFT CR UTR515410649 RAZORPAY SETTLEMENT
BANK-00138,UTR117439966,3455.4,2026-08-25 16:58:10,NEFT CR UTR117439966 RAZORPAY SETTLEMENT
BANK-00139,UTR358906986,2006.56,2026-08-25 14:44:25,NEFT CR UTR358906986 RAZORPAY SETTLEMENT
BANK-00140,UTR211308231,803.67,2026-08-27 15:25:12,NEFT CR UTR211308231 RAZORPAY SETTLEMENT
BANK-00141,UTR457039137,4062.48,2026-08-27 19:42:36,NEFT CR UTR457039137 RAZORPAY SETTLEMENT
BANK-00142,UTR686277792,1157.83,2026-08-24 17:43:12,NEFT CR UTR686277792 RAZORPAY SETTLEMENT
BANK-00143,UTR991617660,1140.46,2026-08-27 00:52:32,NEFT CR UTR991617660 RAZORPAY SETTLEMENT
BANK-00144,UTR613818935,4086.58,2026-08-27 21:07:22,NEFT CR UTR613818935 RAZORPAY SETTLEMENT
BANK-00145,UTR244796859,2211.54,2026-08-27 21:14:31,NEFT CR UTR244796859 RAZORPAY SETTLEMENT
BANK-00146,UTR591429705,3724.98,2026-08-26 15:50:34,NEFT CR UTR591429705 RAZORPAY SETTLEMENT
BANK-00147,UTR147036629,2332.05,2026-08-25 21:49:37,NEFT CR UTR147036629 RAZORPAY SETTLEMENT
BANK-00148,UTR432941445,1911.61,2026-08-26 00:52:48,NEFT CR UTR432941445 RAZORPAY SETTLEMENT
BANK-00149,UTR683074770,947.88,2026-08-28 09:34:52,NEFT CR UTR683074770 RAZORPAY SETTLEMENT
BANK-00150,UTR908839964,9601.27,2026-08-27 15:27:26,NEFT CR UTR908839964 RAZORPAY SETTLEMENT
BANK-00151,UTR483298103,21182.54,2026-08-28 06:24:54,NEFT CR UTR483298103 RAZORPAY SETTLEMENT
BANK-00152,UTR393364102,3959.23,2026-08-27 00:49:56,NEFT CR UTR393364102 RAZORPAY SETTLEMENT
BANK-00153,UTR529520110,-9.12,2026-08-26 15:56:04,NEFT CR UTR529520110 RAZORPAY SETTLEMENT
BANK-00154,UTR515156661,2133.4,2026-08-29 04:20:00,NEFT CR UTR515156661 RAZORPAY SETTLEMENT
BANK-00155,UTR843102880,828.88,2026-08-28 04:46:14,NEFT CR UTR843102880 RAZORPAY SETTLEMENT
BANK-00156,UTR956084565,2661.4,2026-08-28 14:43:07,NEFT CR UTR956084565 RAZORPAY SETTLEMENT
BANK-00157,UTR188703430,181745.27,2026-08-29 02:28:41,NEFT CR UTR188703430 RAZORPAY SETTLEMENT
BANK-00158,UTR562360908,429.77,2026-08-29 04:51:26,NEFT CR UTR562360908 RAZORPAY SETTLEMENT
BANK-00159,UTR415429295,-27.26,2026-08-29 17:24:03,NEFT CR UTR415429295 RAZORPAY SETTLEMENT
BANK-00160,UTR452101316,2254.44,2026-08-28 10:57:52,NEFT CR UTR452101316 RAZORPAY SETTLEMENT
BANK-00161,UTR578798403,57681.52,2026-08-29 19:10:29,NEFT CR UTR578798403 RAZORPAY SETTLEMENT
BANK-00162,UTR278933456,2916.9,2026-08-30 12:30:32,NEFT CR UTR278933456 RAZORPAY SETTLEMENT
BANK-00163,UTR580101819,2445.9,2026-08-29 21:17:44,NEFT CR UTR580101819 RAZORPAY SETTLEMENT
BANK-00164,UTR478557676,2543.28,2026-08-28 09:24:29,NEFT CR UTR478557676 RAZORPAY SETTLEMENT
BANK-00165,UTR786624943,190749.68,2026-08-30 00:05:53,NEFT CR UTR786624943 RAZORPAY SETTLEMENT
BANK-00166,UTR784523874,-27.67,2026-08-28 14:14:51,NEFT CR UTR784523874 RAZORPAY SETTLEMENT
BANK-00167,UTR960170255,4677.8,2026-08-29 18:33:18,NEFT CR UTR960170255 RAZORPAY SETTLEMENT
BANK-00168,UTR133436988,1103.23,2026-08-31 11:30:09,NEFT CR UTR133436988 RAZORPAY SETTLEMENT
BANK-00169,UTR938927341,3612.4,2026-08-29 02:33:24,NEFT CR UTR938927341 RAZORPAY SETTLEMENT
BANK-00170,UTR172191273,4878.56,2026-08-29 20:57:26,NEFT CR UTR172191273 RAZORPAY SETTLEMENT
BANK-00171,UTR488856231,889.58,2026-08-30 16:32:36,NEFT CR UTR488856231 RAZORPAY SETTLEMENT
BANK-00172,UTR749715626,156462.1,2026-08-31 05:37:58,NEFT CR UTR749715626 RAZORPAY SETTLEMENT
BANK-00173,UTR498320110,1720.98,2026-08-30 07:05:51,NEFT CR UTR498320110 RAZORPAY SETTLEMENT
BANK-00174,UTR182555101,3713.57,2026-08-31 15:02:37,NEFT CR UTR182555101 RAZORPAY SETTLEMENT
BANK-00175,UTR494009507,-61.09,2026-08-31 20:22:46,NEFT CR UTR494009507 RAZORPAY SETTLEMENT
BANK-00176,UTR399240862,4811.3,2026-08-31 19:07:17,NEFT CR UTR399240862 RAZORPAY SETTLEMENT
BANK-00177,UTR889924866,422.79,2026-08-30 05:49:25,NEFT CR UTR889924866 RAZORPAY SETTLEMENT
BANK-00178,UTR515524530,61076.23,2026-08-30 22:23:29,NEFT CR UTR515524530 RAZORPAY SETTLEMENT
BANK-00179,UTR932111777,2776.33,2026-08-31 21:09:46,NEFT CR UTR932111777 RAZORPAY SETTLEMENT
BANK-00180,UTR330393232,168708.16,2026-09-01 17:42:26,NEFT CR UTR330393232 RAZORPAY SETTLEMENT
BANK-00181,UTR627422192,109195.72,2026-09-02 08:38:12,NEFT CR UTR627422192 RAZORPAY SETTLEMENT
BANK-00182,UTR179512774,229.69,2026-08-31 12:28:22,NEFT CR UTR179512774 RAZORPAY SETTLEMENT
BANK-00183,UTR865975088,-15.61,2026-09-01 07:30:40,NEFT CR UTR865975088 RAZORPAY SETTLEMENT
BANK-00184,UTR832215964,8600.84,2026-09-01 19:48:18,NEFT CR UTR832215964 RAZORPAY SETTLEMENT
BANK-00185,UTR861863296,2894.51,2026-09-02 02:02:52,NEFT CR UTR861863296 RAZORPAY SETTLEMENT
BANK-00186,UTR411774120,1272.18,2026-09-01 19:42:51,NEFT CR UTR411774120 RAZORPAY SETTLEMENT
BANK-00187,UTR861888313,1747.41,2026-09-02 03:40:47,NEFT CR UTR861888313 RAZORPAY SETTLEMENT
BANK-00188,UTR952225000,4118.92,2026-09-03 23:02:29,NEFT CR UTR952225000 RAZORPAY SETTLEMENT
BANK-00189,UTR230311939,147581.03,2026-09-02 12:11:52,NEFT CR UTR230311939 RAZORPAY SETTLEMENT
BANK-00190,UTR948656610,106578.07,2026-09-01 06:17:27,NEFT CR UTR948656610 RAZORPAY SETTLEMENT
BANK-00191,UTR694875990,1913.09,2026-09-02 03:39:52,NEFT CR UTR694875990 RAZORPAY SETTLEMENT
BANK-00192,UTR962925204,4298.36,2026-09-03 19:02:45,NEFT CR UTR962925204 RAZORPAY SETTLEMENT
BANK-00193,UTR192573170,632.88,2026-09-04 06:18:45,NEFT CR UTR192573170 RAZORPAY SETTLEMENT
BANK-00194,UTR869801588,544.44,2026-09-02 13:45:08,NEFT CR UTR869801588 RAZORPAY SETTLEMENT
BANK-00195,UTR541087900,24976.39,2026-09-04 08:42:33,NEFT CR UTR541087900 RAZORPAY SETTLEMENT
BANK-00196,UTR234568604,4180.84,2026-09-03 16:45:30,NEFT CR UTR234568604 RAZORPAY SETTLEMENT
BANK-00197,UTR583156434,118254.93,2026-09-03 20:10:05,NEFT CR UTR583156434 RAZORPAY SETTLEMENT
BANK-00198,UTR469919929,343.45,2026-09-03 18:50:02,NEFT CR UTR469919929 RAZORPAY SETTLEMENT
BANK-00199,UTR731130400,1107.06,2026-09-03 05:09:26,NEFT CR UTR731130400 RAZORPAY SETTLEMENT
BANK-00200,UTR639945876,3608.38,2026-09-02 21:19:35,NEFT CR UTR639945876 RAZORPAY SETTLEMENT
