payment_id,order_id,amount,gateway,payment_time,status
PAY-00148,ORD-00118,1957.81,Netbanking,2026-08-24 06:20:48,success
PAY-00149,ORD-00110,2229.36,Netbanking,2026-08-24 11:25:52,success
PAY-00150,ORD-00100,9833.34,Netbanking,2026-08-24 12:06:26,success
PAY-00151,ORD-00182,21694.53,Wallet,2026-08-24 14:47:54,success
PAY-00152,ORD-00010,4054.93,UPI,2026-08-24 16:43:56,success
PAY-00153,ORD-00068,386.57,UPI,2026-08-24 19:45:04,success
PAY-00154,ORD-00187,2184.97,Wallet,2026-08-24 20:03:00,success
PAY-00155,ORD-00037,848.91,Card,2026-08-25 05:53:14,success
PAY-00156,ORD-00190,2725.73,Netbanking,2026-08-25 06:45:07,success
PAY-00157,ORD-00045,186138.13,Card,2026-08-25 07:19:41,success
PAY-00158,ORD-00106,440.16,Netbanking,2026-08-25 10:10:26,success
PAY-00159,ORD-00008,1155.04,Card,2026-08-25 12:16:03,success
PAY-00160,ORD-00177,2308.93,UPI,2026-08-25 16:55:52,success
PAY-00161,ORD-00138,59075.71,UPI,2026-08-25 18:59:29,success
PAY-00162,ORD-00006,2987.4,Wallet,2026-08-26 00:14:32,success
PAY-00163,ORD-00184,2505.02,Netbanking,2026-08-26 00:37:44,success
PAY-00164,ORD-00122,2604.75,Card,2026-08-26 06:11:29,success
PAY-00165,ORD-00099,195360.18,Netbanking,2026-08-26 06:26:53,success
PAY-00166,ORD-00131,1172.32,Wallet,2026-08-26 18:51:51,success
PAY-00167,ORD-00066,4790.86,Card,2026-08-26 20:14:18,success
PAY-00168,ORD-00120,1129.9,Netbanking,2026-08-26 21:07:09,success
PAY-00169,ORD-00148,3699.71,Netbanking,2026-08-26 21:58:24,success
PAY-00170,ORD-00061,4996.48,Netbanking,2026-08-27 00:32:26,success
PAY-00171,ORD-00031,4858.28,Netbanking,2026-08-28 00:25:36,success
PAY-00172,ORD-00095,160243.85,Netbanking,2026-08-28 01:27:58,success
PAY-00173,ORD-00057,1762.58,Wallet,2026-08-28 03:58:51,success
PAY-00174,ORD-00028,3803.33,Card,2026-08-28 03:59:37,success
PAY-00175,ORD-00071,2588.36,Card,2026-08-28 06:46:46,success
PAY-00176,ORD-00014,4927.59,Wallet,2026-08-28 08:29:17,success
PAY-00177,ORD-00072,433.01,Netbanking,2026-08-28 08:34:25,success
PAY-00178,ORD-00062,185641.56,Wallet,2026-08-28 08:36:29,success
PAY-00179,ORD-00097,2843.43,Netbanking,2026-08-28 14:47:46,success
PAY-00180,ORD-00130,172785.91,UPI,2026-08-29 03:53:26,success
PAY-00181,ORD-00136,111835.03,Netbanking,2026-08-29 05:48:12,success
PAY-00182,ORD-00108,235.24,Netbanking,2026-08-29 09:31:22,success
PAY-00183,ORD-00032,661.3,Wallet,2026-08-29 19:33:40,success
PAY-00184,ORD-00145,8808.73,Netbanking,2026-08-29 20:58:18,success
PAY-00185,ORD-00026,2964.47,Card,2026-08-29 21:14:52,success
PAY-00186,ORD-00176,1302.93,UPI,2026-08-30 03:09:51,success
PAY-00187,ORD-00132,2831.29,Netbanking,2026-08-30 04:25:47,success
PAY-00188,ORD-00151,4218.48,Card,2026-08-30 04:39:29,success
PAY-00189,ORD-00098,151148.13,UPI,2026-08-30 08:37:52,success
PAY-00190,ORD-00152,109154.11,Wallet,2026-08-30 14:21:27,success
PAY-00191,ORD-00019,1959.33,Netbanking,2026-08-30 23:18:52,success
PAY-00192,ORD-00041,4402.25,Wallet,2026-08-31 02:52:45,success
PAY-00193,ORD-00092,648.18,Card,2026-08-31 05:25:45,success
PAY-00194,ORD-00124,557.6,UPI,2026-08-31 08:33:08,success
PAY-00195,ORD-00171,25580.08,Wallet,2026-08-31 13:11:33,success
PAY-00196,ORD-00147,4281.89,UPI,2026-08-31 15:15:30,success
PAY-00197,ORD-00134,121113.2,Card,2026-08-31 16:07:05,success
PAY-00198,ORD-00198,351.75,Wallet,2026-08-31 17:24:02,success
PAY-00199,ORD-00022,1133.82,Wallet,2026-08-31 20:39:26,success
PAY-00200,ORD-00173,3695.6,Card,2026-08-31 23:41:35,success
