order_id,amount,order_time,currency,status
ORD-00164,902.45,2026-08-10 03:56:08,INR,completed
ORD-00195,367.18,2026-08-10 04:35:51,INR,completed
ORD-00104,94759.13,2026-08-10 08:17:11,INR,completed
ORD-00040,167174.78,2026-08-10 08:43:05,INR,completed
ORD-00094,724.48,2026-08-10 13:16:35,INR,completed
ORD-00077,3391.28,2026-08-10 16:38:49,INR,completed
ORD-00086,861.69,2026-08-10 22:01:16,INR,completed
ORD-00178,3374.12,2026-08-11 01:02:41,INR,completed
ORD-00020,1176.11,2026-08-11 02:02:11,INR,completed
ORD-00033,3866.13,2026-08-11 04:03:41,INR,completed
ORD-00075,2869.61,2026-08-11 09:29:39,INR,completed
ORD-00140,1249.02,2026-08-11 11:38:24,INR,completed
ORD-00021,257.29,2026-08-11 14:36:21,INR,completed
ORD-00116,3367.78,2026-08-11 14:39:03,INR,completed
ORD-00193,62768.06,2026-08-12 06:31:59,INR,completed
ORD-00016,36717.55,2026-08-12 07:37:40,INR,completed
ORD-00081,176457.7,2026-08-12 10:22:33,INR,completed
ORD-00146,128.89,2026-08-12 10:52:19,INR,completed
ORD-00009,1961.64,2026-08-12 12:31:22,INR,completed
ORD-00011,4868.27,2026-08-13 02:52:08,INR,completed
ORD-00105,3334.16,2026-08-13 11:57:05,INR,completed
ORD-00128,3619.89,2026-08-13 17:59:59,INR,completed
ORD-00144,4181.17,2026-08-13 21:15:56,INR,completed
ORD-00007,882.33,2026-08-14 12:23:17,INR,completed
ORD-00054,574.96,2026-08-14 12:53:58,INR,completed
ORD-00169,1801.3,2026-08-14 13:29:31,INR,completed
ORD-00127,19201.5,2026-08-14 22:55:44,INR,completed
ORD-00139,1272.3,2026-08-15 02:49:15,INR,completed
ORD-00047,4508.11,2026-08-15 04:24:20,INR,completed
ORD-00058,1032.02,2026-08-15 05:06:13,INR,completed
ORD-00024,4581.28,2026-08-15 05:12:06,INR,completed
ORD-00065,3941.95,2026-08-15 10:23:08,INR,completed
ORD-00155,1704.03,2026-08-15 11:54:00,INR,completed
ORD-00197,2400.05,2026-08-15 12:24:17,INR,completed
ORD-00143,1721.32,2026-08-15 15:08:16,INR,completed
ORD-00121,1679.02,2026-08-15 16:05:54,INR,completed
ORD-00015,79124.61,2026-08-15 23:08:40,INR,completed
ORD-00199,420.18,2026-08-16 02:41:50,INR,completed
ORD-00179,1692.57,2026-08-16 07:43:22,INR,completed
ORD-00053,1290.69,2026-08-16 14:49:14,INR,completed
ORD-00043,729.12,2026-08-16 20:01:03,INR,completed
ORD-00186,2949.62,2026-08-16 20:09:04,INR,completed
ORD-00126,1299.73,2026-08-16 22:15:20,INR,completed
ORD-00038,3915.27,2026-08-17 00:01:14,INR,completed
ORD-00035,153582.63,2026-08-17 03:52:27,INR,completed
ORD-00070,4605.0,2026-08-17 05:43:55,INR,completed
ORD-00135,3624.44,2026-08-17 15:32:13,INR,completed
ORD-00119,1574.65,2026-08-18 00:00:53,INR,completed
ORD-00060,4320.61,2026-08-18 03:33:53,INR,completed
ORD-00113,4635.32,2026-08-18 07:10:25,INR,completed
ORD-00018,3211.39,2026-08-18 08:54:47,INR,completed
ORD-00005,3284.43,2026-08-18 15:16:27,INR,completed
ORD-00174,4060.18,2026-08-18 17:36:12,INR,completed
ORD-00025,1308.47,2026-08-18 19:37:24,INR,completed
ORD-00073,4713.82,2026-08-19 08:57:51,INR,completed
ORD-00175,4146.1,2026-08-19 09:46:19,INR,completed
ORD-00165,4651.55,2026-08-19 13:39:52,INR,completed
ORD-00093,4189.52,2026-08-19 20:07:00,INR,completed
ORD-00163,922.17,2026-08-20 04:10:12,INR,completed
ORD-00012,4164.08,2026-08-20 13:10:00,INR,completed
ORD-00044,2685.6,2026-08-20 15:24:21,INR,completed
ORD-00030,1985.36,2026-08-20 17:02:28,INR,completed
ORD-00090,3878.48,2026-08-21 09:32:15,INR,completed
ORD-00023,66362.19,2026-08-21 18:10:35,INR,completed
ORD-00036,63196.73,2026-08-21 18:29:00,INR,completed
ORD-00083,4937.44,2026-08-21 19:15:29,INR,completed
ORD-00161,718.48,2026-08-22 04:09:53,INR,completed
ORD-00101,2117.39,2026-08-22 09:02:07,INR,completed
ORD-00114,442.87,2026-08-22 12:01:19,INR,completed
ORD-00150,2005.4,2026-08-22 14:43:14,INR,completed
ORD-00029,883.91,2026-08-22 15:22:13,INR,completed
ORD-00133,4026.94,2026-08-22 19:20:16,INR,completed
ORD-00107,2596.09,2026-08-22 19:31:22,INR,completed
ORD-00002,3708.71,2026-08-22 19:51:22,INR,completed
ORD-00123,1490.55,2026-08-22 23:02:40,INR,completed
ORD-00087,1780.11,2026-08-22 23:05:30,INR,completed
ORD-00017,3538.92,2026-08-22 23:35:39,INR,completed
ORD-00046,2055.06,2026-08-22 23:39:40,INR,completed
ORD-00129,823.1,2026-08-23 00:12:06,INR,completed
ORD-00172,4160.67,2026-08-23 05:34:12,INR,completed
ORD-00185,1185.82,2026-08-23 08:51:30,INR,completed
ORD-00162,1168.03,2026-08-23 09:19:46,INR,completed
ORD-00082,4185.35,2026-08-23 11:00:51,INR,completed
ORD-00091,2264.99,2026-08-23 15:34:17,INR,completed
ORD-00183,3815.01,2026-08-23 17:20:02,INR,completed
ORD-00055,2388.42,2026-08-24 01:58:20,INR,completed
ORD-00118,1957.81,2026-08-24 06:20:10,INR,completed
ORD-00110,2229.36,2026-08-24 11:25:14,INR,completed
ORD-00100,9833.34,2026-08-24 12:05:40,INR,completed
ORD-00182,21694.53,2026-08-24 14:47:51,INR,completed
ORD-00010,4054.93,2026-08-24 16:43:37,INR,completed
ORD-00068,386.57,2026-08-24 19:44:26,INR,completed
ORD-00187,2184.97,2026-08-24 20:02:20,INR,completed
ORD-00037,848.91,2026-08-25 05:52:54,INR,completed
ORD-00190,2725.73,2026-08-25 06:44:27,INR,completed
ORD-00045,186138.13,2026-08-25 07:19:25,INR,completed
ORD-00106,440.16,2026-08-25 10:09:45,INR,completed
ORD-00008,1155.04,2026-08-25 12:15:18,INR,completed
ORD-00177,2308.93,2026-08-25 16:55:10,INR,completed
ORD-00138,59075.71,2026-08-25 18:58:47,INR,completed
ORD-00006,2987.4,2026-08-26 00:14:11,INR,completed
ORD-00184,2505.02,2026-08-26 00:37:40,INR,completed
ORD-00122,2604.75,2026-08-26 06:10:41,INR,completed
ORD-00099,195360.18,2026-08-26 06:26:46,INR,completed
ORD-00131,1172.32,2026-08-26 18:51:29,INR,completed
ORD-00066,4790.86,2026-08-26 20:14:05,INR,completed
ORD-00120,1129.9,2026-08-26 21:06:59,INR,completed
ORD-00148,3699.71,2026-08-26 21:57:49,INR,completed
ORD-00061,4996.48,2026-08-27 00:32:14,INR,completed
ORD-00031,4858.28,2026-08-28 00:25:04,INR,completed
ORD-00095,160243.85,2026-08-28 01:27:09,INR,completed
ORD-00057,1762.58,2026-08-28 03:58:42,INR,completed
ORD-00028,3803.33,2026-08-28 03:59:31,INR,completed
ORD-00071,2588.36,2026-08-28 06:45:56,INR,completed
ORD-00014,4927.59,2026-08-28 08:28:32,INR,completed
ORD-00072,433.01,2026-08-28 08:33:48,INR,completed
ORD-00062,185641.56,2026-08-28 08:36:22,INR,completed
ORD-00097,2843.43,2026-08-28 14:47:44,INR,completed
ORD-00130,172785.91,2026-08-29 03:52:50,INR,completed
ORD-00136,111835.03,2026-08-29 05:47:41,INR,completed
ORD-00108,235.24,2026-08-29 09:30:37,INR,completed
ORD-00032,661.3,2026-08-29 19:33:01,INR,completed
ORD-00145,8808.73,2026-08-29 20:57:36,INR,completed
ORD-00026,2964.47,2026-08-29 21:14:44,INR,completed
ORD-00176,1302.93,2026-08-30 03:09:19,INR,completed
ORD-00132,2831.29,2026-08-30 04:25:06,INR,completed
ORD-00151,4218.48,2026-08-30 04:38:48,INR,completed
ORD-00098,151148.13,2026-08-30 08:37:09,INR,completed
ORD-00152,109154.11,2026-08-30 14:20:45,INR,completed
ORD-00019,1959.33,2026-08-30 23:18:06,INR,completed
ORD-00041,4402.25,2026-08-31 02:52:02,INR,completed
ORD-00092,648.18,2026-08-31 05:25:36,INR,completed
ORD-00124,557.6,2026-08-31 08:33:04,INR,completed
ORD-00171,25580.08,2026-08-31 13:11:12,INR,completed
ORD-00147,4281.89,2026-08-31 15:15:21,INR,completed
ORD-00134,121113.2,2026-08-31 16:06:48,INR,completed
ORD-00198,351.75,2026-08-31 17:23:36,INR,completed
ORD-00022,1133.82,2026-08-31 20:39:01,INR,completed
ORD-00173,3695.6,2026-08-31 23:40:56,INR,completed
